event_id,user_id,session_id,timestamp,key_index,hold_time_ms,flight_time_ms,typing_speed_wpm,key_pressure,is_backspace,is_pause,digraph_time_ms,trigraph_time_ms,label
1,1,S001G000,2026-02-03T22:50:00,0,94.39,98.36,38.9,0.439,0,0,144.03,268.17,genuine
2,1,S001G000,2026-02-03T22:50:00.214000,1,93.01,121.81,49.8,0.4685,0,1,112.56,276.33,genuine
3,1,S001G000,2026-02-03T22:50:00.402000,2,87.86,113.44,52.2,0.3559,0,0,170.11,243.26,genuine
4,1,S001G000,2026-02-03T22:50:00.636000,3,107.48,105.22,51.8,0.4556,0,0,140.97,256.12,genuine
5,1,S001G000,2026-02-03T22:50:00.944000,4,90.84,145.38,59.8,0.4522,0,0,112.62,284.87,genuine
6,1,S001G000,2026-02-03T22:50:01.035000,5,93.71,113.71,44.9,0.4156,0,0,146.31,265.95,genuine
7,1,S001G000,2026-02-03T22:50:01.260000,6,89.33,121.13,60.7,0.472,0,0,138.35,348.07,genuine
8,1,S001G000,2026-02-03T22:50:01.316000,7,97.58,91.17,42.9,0.4335,0,0,168.27,250.25,genuine
9,1,S001G000,2026-02-03T22:50:01.608000,8,108.18,93.16,59.3,0.497,0,0,141.98,212.28,genuine
10,1,S001G000,2026-02-03T22:50:01.764000,9,82.48,114.28,51.5,0.4862,0,0,174.3,273.93,genuine
11,1,S001G000,2026-02-03T22:50:02.730000,10,116.22,156.92,61.6,0.5037,0,0,193.73,313.26,genuine
12,1,S001G000,2026-02-03T22:50:02.123000,11,89.51,103.91,55.1,0.5252,0,0,175.36,273.97,genuine
13,1,S001G000,2026-02-03T22:50:02.580000,12,123.09,92.33,55.2,0.5238,0,0,141.43,297.11,genuine
14,1,S001G000,2026-02-03T22:50:02.483000,13,116.27,75.46,32.0,0.4699,0,0,160.82,248.73,genuine
15,1,S001G000,2026-02-03T22:50:02.884000,14,85.33,121.59,45.7,0.5615,0,0,155.55,243.98,genuine
16,1,S001G000,2026-02-03T22:50:03.660000,15,102.76,141.74,54.8,0.4581,0,0,173.14,252.9,genuine
17,1,S001G000,2026-02-03T22:50:02.880000,16,103.13,77.16,66.5,0.4849,0,0,188.2,288.38,genuine
18,1,S001G000,2026-02-03T22:50:03.689000,17,83.14,134.58,37.0,0.4219,0,1,168.11,250.25,genuine
19,1,S001G000,2026-02-03T22:50:02.628000,18,60.35,86.2,56.1,0.5471,0,0,103.89,300.17,genuine
20,1,S001G000,2026-02-03T22:50:04.864000,19,112.43,144.12,55.7,0.4768,0,0,167.56,223.68,genuine
21,1,S001G000,2026-02-03T22:50:04.260000,20,111.39,102.48,62.4,0.4907,0,0,135.86,235.6,genuine
22,1,S001G000,2026-02-03T22:50:05.397000,21,111.4,145.97,52.5,0.3834,0,0,144.67,259.98,genuine
23,1,S001G000,2026-02-03T22:50:04.026000,22,85.81,97.52,47.4,0.4699,0,0,165.52,244.46,genuine
24,1,S001G000,2026-02-03T22:50:05.681000,23,97.63,149.81,48.0,0.4297,0,0,121.52,262.8,genuine
25,1,S001G000,2026-02-03T22:50:05.232000,24,112.15,106.43,46.7,0.4443,0,0,198.01,307.48,genuine
26,1,S001G000,2026-02-03T22:50:05.625000,25,93.16,132.48,48.2,0.4818,1,0,130.78,233.51,genuine
27,1,S001G000,2026-02-03T22:50:05.018000,26,66.72,126.67,46.3,0.3872,0,0,175.28,303.15,genuine
28,1,S001G000,2026-02-03T22:50:05.427000,27,111.77,89.31,42.5,0.5469,0,0,149.52,234.93,genuine
29,1,S001G000,2026-02-03T22:50:04.592000,28,65.63,98.59,56.5,0.493,0,0,140.68,257.06,genuine
30,1,S001G000,2026-02-03T22:50:05.365000,29,92.57,92.57,35.2,0.5195,0,0,145.87,272.43,genuine
31,1,S001G000,2026-02-03T22:50:05.940000,30,101.05,97.61,35.4,0.4716,0,0,142.25,268.69,genuine
32,1,S001G000,2026-02-03T22:50:06.200000,31,73.49,126.82,61.4,0.4755,0,0,168.44,290.49,genuine
33,1,S001G000,2026-02-03T22:50:07.136000,32,97.16,126.51,57.3,0.4251,0,0,166.86,240.69,genuine
34,1,S001G000,2026-02-03T22:50:05.313000,33,95.92,65.46,55.4,0.5904,0,0,172.74,257.65,genuine
35,1,S001G000,2026-02-03T22:50:07.276000,34,71.53,142.47,43.2,0.5077,0,0,175.51,245.75,genuine
36,1,S001G000,2026-02-03T22:50:07.980000,35,90.02,138.3,61.9,0.4035,0,0,181.15,209.79,genuine
37,1,S001G000,2026-02-03T22:50:07.884000,36,107.67,111.74,46.3,0.5358,0,0,120.78,292.67,genuine
38,1,S001G000,2026-02-03T22:50:08.325000,37,96.21,129.34,62.1,0.4401,0,0,148.29,339.11,genuine
39,1,S001G000,2026-02-03T22:50:07.752000,38,70.92,133.29,55.9,0.3744,1,0,158.19,277.71,genuine
40,1,S001G000,2026-02-03T22:50:08.112000,39,95.62,113.25,54.4,0.5137,0,0,158.6,300.44,genuine
41,1,S001G000,2026-02-03T22:50:10.520000,40,115.3,147.74,54.6,0.4262,0,0,187.98,255.75,genuine
42,1,S001G000,2026-02-03T22:50:08.036000,41,93.44,102.69,64.4,0.4414,0,0,173.22,250.65,genuine
43,1,S001G000,2026-02-03T22:50:08.778000,42,99.98,109.89,43.6,0.3777,0,0,147.3,309.72,genuine
44,1,S001G000,2026-02-03T22:50:07.740000,43,99.85,80.32,52.0,0.4548,0,0,183.18,284.73,genuine
45,1,S001G000,2026-02-03T22:50:09.724000,44,105.31,116.52,53.7,0.4079,0,0,145.81,270.87,genuine
46,1,S001G000,2026-02-03T22:50:10.620000,45,99.01,137.17,42.7,0.4228,0,0,120.49,278.82,genuine
47,1,S001G000,2026-02-03T22:50:08.602000,46,82.77,104.85,74.7,0.4742,0,0,157.05,227.57,genuine
48,1,S001G000,2026-02-03T22:50:08.695000,47,86.47,98.58,53.4,0.4183,0,0,156.12,290.81,genuine
49,1,S001G000,2026-02-03T22:50:07.728000,48,70.63,90.73,49.3,0.4038,0,0,135.79,287.72,genuine
50,1,S001G000,2026-02-03T22:50:11.319000,49,92.99,138.17,43.3,0.4551,1,0,144.65,279.2,genuine
51,1,S001G000,2026-02-03T22:50:09.150000,50,85.86,97.88,50.3,0.4195,0,0,143.84,293.01,genuine
