event_id,user_id,session_id,timestamp,velocity_px_s,acceleration_px_s2,curvature,jitter_amplitude,click_duration_ms,dx,dy,event_type,direction_changes,label
1,1,S001G000,2026-03-22T00:00:00,404.37,987.17,0.1904,4.407,,-139.6,0.8,move,2,genuine
2,1,S001G000,2026-03-22T00:00:00.050000,430.9,1016.19,0.1614,2.675,,10.3,-25.5,move,3,genuine
3,1,S001G000,2026-03-22T00:00:00.100000,439.11,1076.17,0.1679,3.889,,-205.5,287.9,move,4,genuine
4,1,S001G000,2026-03-22T00:00:00.150000,540.89,827.28,0.1131,2.781,,-534.7,13.3,move,2,genuine
5,1,S001G000,2026-03-22T00:00:00.200000,432.81,687.06,0.1584,4.881,,-217.4,21.4,move,3,genuine
6,1,S001G000,2026-03-22T00:00:00.250000,438.98,874.07,0.132,4.093,,276.8,-32.0,move,5,genuine
7,1,S001G000,2026-03-22T00:00:00.300000,507.88,690.54,0.189,3.925,,-186.8,255.1,move,4,genuine
8,1,S001G000,2026-03-22T00:00:00.350000,429.33,301.48,0.1895,4.345,,-300.5,57.4,move,3,genuine
9,1,S001G000,2026-03-22T00:00:00.400000,479.63,783.39,0.1523,2.649,,355.5,-99.8,move,0,genuine
10,1,S001G000,2026-03-22T00:00:00.450000,494.27,789.84,0.1673,4.415,,-9.7,-75.0,move,2,genuine
11,1,S001G000,2026-03-22T00:00:00.500000,630.48,925.58,0.0499,3.955,127.41,-36.7,-117.7,click,4,genuine
12,1,S001G000,2026-03-22T00:00:00.550000,460.33,697.87,0.2204,3.845,,27.6,-155.4,move,0,genuine
13,1,S001G000,2026-03-22T00:00:00.600000,602.11,777.59,0.1117,3.891,,-45.6,-52.3,move,1,genuine
14,1,S001G000,2026-03-22T00:00:00.650000,452.83,969.98,0.1645,3.242,100.03,80.1,-79.5,click,1,genuine
15,1,S001G000,2026-03-22T00:00:00.700000,608.02,1000.32,0.1047,3.982,,102.8,158.2,move,2,genuine
16,1,S001G000,2026-03-22T00:00:00.750000,545.31,998.56,0.1842,3.802,,124.8,-138.5,move,1,genuine
17,1,S001G000,2026-03-22T00:00:00.800000,512.27,843.82,0.1443,4.089,,-146.3,182.7,move,4,genuine
18,1,S001G000,2026-03-22T00:00:00.850000,376.53,830.42,0.1249,3.148,,-306.0,-100.2,move,3,genuine
