session_id,user_id,label,keystroke_count,mouse_event_count,session_duration_sec,avg_hold_time_ms,std_hold_time_ms,avg_flight_time_ms,std_flight_time_ms,typing_speed_wpm,avg_pressure,error_rate,avg_digraph_ms,avg_trigraph_ms,avg_mouse_velocity,avg_mouse_accel,avg_curvature,avg_jitter,avg_click_duration_ms,rhythm_consistency,data_familiarity_score,risk_score,authenticity_score
S001G000,1,genuine,80,120,275.4,96.34,12.68,98.47,20.58,46.9,0.4698,0.0584,135.21,265.1,598.14,952.14,0.1497,3.227,107.83,0.8776,0.9491,0.2335,0.8866
S001G001,1,genuine,80,120,284.0,71.23,12.68,133.07,20.58,58.6,0.4576,0.0763,137.34,267.95,592.11,926.18,0.2216,3.436,107.28,0.7512,0.764,0.1984,0.9364
S001G002,1,genuine,80,120,312.6,95.23,12.68,114.43,20.58,47.3,0.4565,0.0579,153.95,263.92,690.4,897.82,0.1579,4.055,113.56,0.8584,0.8153,0.0295,0.6858
S001G003,1,genuine,80,120,291.9,121.99,12.68,118.45,20.58,46.5,0.414,0.0696,137.73,310.33,342.81,1043.38,0.1456,3.32,94.29,0.8061,0.9623,0.0282,0.8075
S001G004,1,genuine,80,120,315.2,101.92,12.68,144.24,20.58,54.5,0.4974,0.0634,168.37,248.64,425.19,925.91,0.2007,4.034,126.25,0.9073,0.7603,0.1689,0.9226
S001G005,1,genuine,80,120,211.1,94.12,12.68,133.64,20.58,59.5,0.4468,0.0603,150.76,277.19,479.69,662.98,0.1597,2.898,97.85,0.8494,0.9219,0.2058,0.8255
S001G006,1,genuine,80,120,330.2,81.11,12.68,113.47,20.58,61.0,0.4297,0.0721,153.36,276.55,386.06,1045.6,0.209,3.789,118.92,0.8554,1,0.1977,1
S001G007,1,genuine,80,120,306.6,90.58,12.68,89.46,20.58,63.5,0.4846,0.0755,150.75,280.48,639.74,826.62,0.1713,4.032,117.35,0.9151,0.7809,0.1277,0.8292
S001G008,1,genuine,80,120,271.6,119.91,12.68,89.81,20.58,68.5,0.4754,0.0529,135.46,247.17,402.21,333.31,0.1866,3.257,95.54,0.8086,0.8624,0.0985,0.8275
S001G009,1,genuine,80,120,216.4,70.11,12.68,133.72,20.58,50.0,0.5865,0.0665,148.8,239.63,656.72,1077.42,0.1098,2.696,119.0,0.8163,0.8296,0.3709,0.8211
S001G010,1,genuine,80,120,250.1,79.87,12.68,122.21,20.58,54.9,0.4115,0.0528,157.85,240.91,532.94,475.71,0.2047,3.373,91.53,0.9939,0.9813,0.3102,0.9012
S001G011,1,genuine,80,120,323.6,64.5,12.68,94.43,20.58,41.0,0.3081,0.0775,170.79,259.0,381.8,1069.0,0.1397,4.01,98.0,0.7329,0.9116,0.1825,0.8631
S001G012,1,genuine,80,120,338.9,79.42,12.68,135.35,20.58,49.7,0.4701,0.0626,153.25,271.55,519.54,791.21,0.1699,3.548,150.14,0.738,1,0.0711,0.8058
S001G013,1,genuine,80,120,210.5,97.0,12.68,126.21,20.58,60.5,0.4619,0.0696,156.22,246.98,567.07,408.16,0.1349,4.047,123.51,0.8804,0.8801,0.0562,0.9127
S001G014,1,genuine,80,120,238.4,107.42,12.68,138.8,20.58,65.4,0.4999,0.0523,165.35,276.81,318.92,726.71,0.1302,3.239,106.55,0.8481,0.8379,0.2262,0.8752
S001G015,1,genuine,80,120,329.9,94.42,12.68,116.72,20.58,43.5,0.4683,0.0744,156.89,256.36,644.64,1000.7,0.1266,2.866,106.26,0.9048,0.793,0.3303,0.799
S001G016,1,genuine,80,120,280.0,80.59,12.68,96.87,20.58,47.4,0.4299,0.0548,148.58,260.92,406.29,1097.54,0.204,3.609,102.84,0.8967,0.9964,0.09,0.942
S001G017,1,genuine,80,120,288.0,81.1,12.68,116.36,20.58,52.8,0.3233,0.0686,154.23,267.57,424.48,893.02,0.1513,3.356,113.44,0.9762,0.982,0.1969,1
S001G018,1,genuine,80,120,307.3,75.88,12.68,129.48,20.58,60.3,0.4214,0.0735,128.89,275.62,574.34,990.7,0.1306,3.967,118.0,0.8692,0.8045,0.1614,0.8048
S001G019,1,genuine,80,120,238.1,89.93,12.68,140.87,20.58,78.2,0.3365,0.0621,140.07,251.45,478.33,848.97,0.1385,3.323,104.84,0.8685,1,0.1128,0.8675
S001G020,1,genuine,80,120,293.9,79.34,12.68,114.08,20.58,52.0,0.5337,0.0742,146.97,248.43,515.75,699.85,0.1186,3.974,123.57,0.9293,0.827,0.19,0.9554
S001G021,1,genuine,80,120,242.0,81.06,12.68,84.17,20.58,63.7,0.4805,0.0742,151.83,247.44,493.76,1246.13,0.1822,3.608,108.68,0.8623,0.8699,0.1842,0.8027
S001G022,1,genuine,80,120,185.8,97.18,12.68,132.0,20.58,57.6,0.34,0.0756,167.25,306.88,604.86,473.86,0.1774,3.472,98.42,0.8097,1,0.083,0.9669
S001G023,1,genuine,80,120,297.1,106.65,12.68,93.91,20.58,47.3,0.5304,0.0687,137.63,251.39,566.49,921.26,0.1599,3.535,139.6,0.9718,0.9783,0.2922,0.9652
S001G024,1,genuine,80,120,248.3,84.58,12.68,116.09,20.58,66.9,0.4974,0.0559,153.2,258.44,540.66,847.47,0.1457,3.345,110.0,0.8362,1,0.0284,0.9505
S001G025,1,genuine,80,120,338.5,86.9,12.68,130.42,20.58,46.6,0.4418,0.0448,151.7,268.01,769.41,511.68,0.1367,2.78,81.99,0.7375,1,0,1
S001G026,1,genuine,80,120,282.6,98.95,12.68,127.3,20.58,67.4,0.5413,0.0637,172.95,270.85,519.64,637.31,0.1616,3.239,128.87,0.7215,1,0.0648,0.9523
S001G027,1,genuine,80,120,360.0,112.94,12.68,84.83,20.58,42.4,0.4267,0.0646,128.71,309.58,540.83,1010.44,0.211,3.793,106.96,0.8762,0.852,0.1576,0.8483
S001G028,1,genuine,80,120,325.7,105.24,12.68,87.3,20.58,52.2,0.4308,0.0488,181.23,271.28,491.97,302.85,0.1836,3.663,116.83,0.758,0.9655,0.1574,0.9429
S001G029,1,genuine,80,120,260.8,87.65,12.68,133.09,20.58,63.4,0.5652,0.0548,141.68,294.82,627.29,1070.49,0.1752,3.82,137.17,0.8283,0.8391,0.0978,0.917
S001G030,1,genuine,80,120,404.0,72.5,12.68,161.85,20.58,45.0,0.5088,0.0621,164.52,238.48,650.79,1045.47,0.1626,3.487,112.54,0.7828,0.8745,0.0529,0.9779
S001G031,1,genuine,80,120,351.5,96.75,12.68,56.93,20.58,60.2,0.4717,0.0514,147.48,305.36,579.2,646.84,0.1314,3.291,96.1,0.8799,0.739,0.0623,0.8183
S001G032,1,genuine,80,120,293.7,91.14,12.68,123.72,20.58,59.2,0.4793,0.0606,170.13,256.65,582.73,624.51,0.1453,3.902,90.76,0.9113,0.8944,0.0348,0.6676
S001G033,1,genuine,80,120,145.0,89.4,12.68,128.72,20.58,54.3,0.5406,0.0567,167.66,253.23,512.02,947.66,0.1327,3.028,113.53,0.836,0.9734,0.1982,0.775
S001G034,1,genuine,80,120,227.0,115.53,12.68,102.12,20.58,76.2,0.4814,0.0641,166.25,301.34,612.03,938.38,0.1239,3.489,105.89,0.7917,0.7572,0.2294,1
S001G035,1,genuine,80,120,363.0,110.91,12.68,113.23,20.58,54.4,0.4107,0.0468,159.18,252.44,445.37,942.41,0.217,3.795,99.21,0.7037,0.9275,0.0423,0.8199
S001G036,1,genuine,80,120,310.8,83.19,12.68,126.69,20.58,52.3,0.4985,0.0699,168.13,248.63,345.89,923.49,0.1482,3.099,100.54,0.6313,1,0.0763,0.8889
S001G037,1,genuine,80,120,172.9,103.77,12.68,111.07,20.58,47.9,0.4116,0.0692,157.31,245.1,341.62,910.8,0.221,3.485,89.48,0.9254,0.8767,0.2754,1
S001G038,1,genuine,80,120,249.6,94.48,12.68,104.87,20.58,60.9,0.4748,0.0553,159.19,275.04,636.09,656.92,0.1763,3.131,98.47,0.703,0.6501,0.1415,0.8279
S001G039,1,genuine,80,120,373.6,112.62,12.68,100.51,20.58,56.7,0.5606,0.0684,148.07,283.35,574.49,958.38,0.1717,3.927,116.5,0.8866,1,0.1038,0.9724
S001G040,1,genuine,80,120,194.5,80.25,12.68,99.81,20.58,51.4,0.3725,0.0477,151.66,239.63,476.42,814.08,0.172,3.534,100.28,0.8557,1,0.3012,0.9795
S001G041,1,genuine,80,120,220.0,81.65,12.68,119.18,20.58,47.0,0.4386,0.0704,139.73,285.71,436.25,942.1,0.1151,3.987,107.02,0.8535,0.887,0.2236,0.8196
S001G042,1,genuine,80,120,262.0,104.73,12.68,119.34,20.58,59.4,0.4655,0.0628,155.24,249.06,556.26,938.57,0.1446,3.074,121.54,0.8524,1,0,0.7815
S001G043,1,genuine,80,120,349.6,85.46,12.68,115.85,20.58,46.0,0.4392,0.056,167.14,277.76,717.35,630.94,0.2025,3.341,103.78,0.852,0.9041,0.2751,0.9545
S001G044,1,genuine,80,120,234.1,73.21,12.68,84.54,20.58,47.9,0.5015,0.0728,149.2,290.05,413.71,588.88,0.188,4.27,115.21,0.8172,0.8369,0.232,0.8079
S001G045,1,genuine,80,120,369.0,77.89,12.68,92.13,20.58,59.3,0.4199,0.0684,149.34,299.23,568.78,1029.56,0.1324,3.648,110.91,0.8786,0.7999,0.2068,0.7995
S001G046,1,genuine,80,120,357.0,89.01,12.68,121.83,20.58,67.8,0.466,0.0689,146.79,255.29,372.94,788.47,0.1603,3.562,115.33,0.9017,0.9264,0.2522,1
S001G047,1,genuine,80,120,257.6,103.86,12.68,135.41,20.58,57.7,0.4259,0.062,149.9,261.91,510.79,577.3,0.1643,4.439,119.35,0.8821,0.8349,0.1189,1
S001G048,1,genuine,80,120,219.8,77.61,12.68,121.02,20.58,61.6,0.3907,0.0552,126.93,263.39,576.5,829.42,0.1775,3.787,84.51,0.7989,0.8802,0.0654,0.8581
S001G049,1,genuine,80,120,311.6,73.88,12.68,126.12,20.58,51.8,0.5318,0.0657,147.89,282.28,440.9,1255.11,0.1347,2.866,97.28,0.9311,0.949,0.1971,0.8244
S001I000,1,impostor,80,120,430.4,99.76,20.01,48.48,34.25,92.7,0.7183,0.04,172.2,198.15,318.4,574.27,0.0794,2.351,120.45,0.5718,0.4848,0.8463,0.4117
S001I001,1,impostor,80,120,492.6,71.26,13.84,77.79,50.61,56.1,0.7292,0.1176,125.1,203.95,563.64,743.21,0.1582,0,64.54,0.5347,0.3274,0.7091,0.3032
S001I002,1,impostor,80,120,419.3,83.45,17.29,127.9,51.84,51.2,0.4173,0.0449,122.43,202.31,274.52,875.68,0.2041,2.063,130.65,0.5624,0.4489,0.6319,0.4692
S001I003,1,impostor,80,120,390.6,124.7,20.01,57.11,34.25,81.6,0.4045,0.07,163.14,180.16,296.26,476.26,0.0455,1.469,115.14,0.579,0.5279,0.7292,0.4083
S001I004,1,impostor,80,120,507.1,61.8,17.29,98.15,51.84,40.5,0.6022,0.0521,104.79,269.01,572.11,898.45,0.2723,1.35,141.52,0.4856,0.3781,0.7933,0.363
