user_id,username,avg_hold_time,hold_time_std,avg_flight_time,flight_time_std,typing_speed_wpm,typing_speed_std,avg_pressure,pressure_std,error_rate,pause_frequency,digraph_mean,trigraph_mean,mouse_velocity_mean,mouse_velocity_std,mouse_accel_mean,mouse_accel_std,mouse_curvature_mean,mouse_jitter_amp,click_duration_mean,scroll_speed_mean,direction_change_rate
1,user_001,92.1182,12.6755,114.8129,20.5803,53.0862,9.2453,0.4703,0.0587,0.0622,0.0545,156.9689,266.5423,515.6637,114.9884,822.1014,208.9883,0.1623,3.5489,111.0414,291.4941,0.3417
2,user_002,89.161,10.6432,94.079,38.9303,51.5742,3.677,0.6953,0.1347,0.0804,0.1711,145.2768,170.8157,546.1489,105.2041,767.2048,265.8809,0.0769,1.4215,75.4804,241.6443,0.1137
3,user_003,97.2884,9.3565,144.5591,20.8198,64.7492,7.4498,0.7074,0.0865,0.057,0.0814,142.4965,313.4302,368.0707,67.1139,580.2251,245.8254,0.1753,3.1687,145.6586,292.4778,0.2671
4,user_004,79.6335,21.192,67.0875,20.7262,67.7947,4.8742,0.6709,0.0711,0.1143,0.1815,132.6889,273.6357,274.2041,95.8852,1070.4936,152.976,0.1514,3.5268,107.3499,405.7006,0.3693
5,user_005,83.6453,24.9581,132.4728,27.7382,58.9205,3.7675,0.6702,0.1127,0.0992,0.1133,177.1016,235.2419,572.6942,147.1078,794.0187,272.1559,0.2297,2.5921,97.0933,209.7242,0.18
6,user_006,88.8449,15.391,108.7013,26.3431,84.3593,4.8437,0.5799,0.1001,0.0379,0.1869,167.3509,195.5245,361.9536,65.2839,589.9784,252.5022,0.0658,2.1598,109.1697,299.487,0.1972
7,user_007,140.6686,22.9383,128.4252,35.7916,53.1679,9.1461,0.6888,0.1447,0.0286,0.1229,196.0064,248.4954,455.2071,97.5282,695.6701,209.9607,0.1404,4.1162,94.7244,325.6313,0.2618
8,user_008,93.3143,13.2992,100.0537,39.8787,45.5233,6.623,0.5458,0.0621,0.0425,0.1007,131.5588,204.7599,457.1396,113.1103,875.4137,145.7884,0.2321,1.6124,126.636,325.4017,0.3007
9,user_009,97.3742,23.9037,135.5813,29.2761,29.1015,8.6525,0.6859,0.069,0.0297,0.1147,120.1502,240.7287,430.3895,148.4165,503.3949,119.6836,0.1127,2.9184,122.2023,253.797,0.1571
10,user_010,75.1443,12.7353,129.9649,21.2452,69.3807,9.0294,0.5898,0.105,0.0251,0.1999,190.6901,129.5996,623.9124,66.6311,626.5212,197.1282,0.1614,3.2891,132.7649,328.1224,0.3956
